Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9675126,Diseases of mitotic cell cycle,3,38,0.002581346,0.00264955,0.1006829,2,5,3.78E-04,9606,Homo sapiens,CCNE2;CCND1;UBE2C,,R-HSA-9687377;R-HSA-9659782
R-HSA-1538133,G0 and Early G1,3,38,0.002581346,0.00264955,0.1006829,6,27,0.002040971,9606,Homo sapiens,CCNE2;MYBL2,,R-HSA-1363303;R-HSA-1363314;R-HSA-8978926;R-HSA-8964561;R-HSA-1363311;R-HSA-1363306
R-HSA-212436,Generic Transcription Pathway,21,1554,0.105563481,0.002993213,0.104762469,55,824,0.062287399,9606,Homo sapiens,MYST3;UBE2C;ATAD2;ASH2L;BRCA1;COX6C;YWHAZ;RRM2B;CCNE2;CCND1;RHPN1;MYBL2;E2F7;RAD9A,,R-HSA-8937097;R-HSA-6799332;R-HSA-6798304;R-HSA-5632732;R-HSA-3790130;R-HSA-163214;R-HSA-8937989;R-HSA-8952069;R-HSA-8937369;R-HSA-6805620;R-HSA-9008412;R-HSA-8951442;R-HSA-8936979;R-HSA-8951443;R-HSA-8936616;R-HSA-6805061;R-HSA-5632887;R-HSA-6805059;R-HSA-8936621;R-HSA-8936481;R-HSA-5632892;R-HSA-8869549;R-HSA-8936995;R-HSA-8952996;R-HSA-8865320;R-HSA-8937016;R-HSA-8935740;R-HSA-5632738;R-HSA-8869566;R-HSA-8935731;R-HSA-69562;R-HSA-8936628;R-HSA-6798299;R-HSA-8953013;R-HSA-6797606;R-HSA-8853956;R-HSA-8937037;R-HSA-9614423;R-HSA-8853965;R-HSA-975040;R-HSA-8937050;R-HSA-6797616;R-HSA-6805638;R-HSA-6798347;R-HSA-6805640;R-HSA-9614562;R-HSA-8952058;R-HSA-6805650;R-HSA-8952062;R-HSA-6798353;R-HSA-9614564;R-HSA-6797712;R-HSA-8938867;R-HSA-9007605;R-HSA-9007606
R-HSA-69278,"Cell Cycle, Mitotic",11,596,0.04048638,0.003598697,0.118756986,106,350,0.026457026,9606,Homo sapiens,NUP107;CCNE2;CCND1;ESPL1;UBE2C;GINS4;MYBL2;BRCA1;TUBG1,,R-HSA-375302;R-HSA-174088;R-HSA-2990880;R-HSA-2990882;R-HSA-8853405;R-HSA-174104;R-HSA-174105;R-HSA-188191;R-HSA-380455;R-HSA-174119;R-HSA-9018017;R-HSA-9686969;R-HSA-174120;R-HSA-174121;R-HSA-176942;R-HSA-8853419;R-HSA-75820;R-HSA-75823;R-HSA-75822;R-HSA-75825;R-HSA-75824;R-HSA-174132;R-HSA-9634219;R-HSA-174139;R-HSA-176956;R-HSA-174144;R-HSA-69191;R-HSA-69195;R-HSA-69199;R-HSA-174157;R-HSA-9686980;R-HSA-9618378;R-HSA-380508;R-HSA-174171;R-HSA-8964561;R-HSA-8942803;R-HSA-9648114;R-HSA-1363314;R-HSA-8978926;R-HSA-69227;R-HSA-141423;R-HSA-174195;R-HSA-1363303;R-HSA-2484822;R-HSA-380272;R-HSA-174202;R-HSA-1363311;R-HSA-1226094;R-HSA-8942836;R-HSA-1226095;R-HSA-1363306;R-HSA-380283;R-HSA-187520;R-HSA-380294;R-HSA-8942607;R-HSA-1638803;R-HSA-380303;R-HSA-69005;R-HSA-9615901;R-HSA-174227;R-HSA-380311;R-HSA-174224;R-HSA-69015;R-HSA-8848414;R-HSA-380316;R-HSA-2467775;R-HSA-2468287;R-HSA-174238;R-HSA-187552;R-HSA-174255;R-HSA-8848436;R-HSA-187574;R-HSA-187575;R-HSA-69562;R-HSA-188350;R-HSA-1638821;R-HSA-2467809;R-HSA-2467811;R-HSA-4088309;R-HSA-4088306;R-HSA-4088307;R-HSA-8941895;R-HSA-4088305;R-HSA-157906;R-HSA-179410;R-HSA-188371;R-HSA-3000319;R-HSA-8941915;R-HSA-9615937;R-HSA-4088298;R-HSA-4088299;R-HSA-2529020;R-HSA-2574845;R-HSA-9615945;R-HSA-3000310;R-HSA-179417;R-HSA-2574840;R-HSA-179421;R-HSA-188386;R-HSA-188390;R-HSA-174058;R-HSA-9634169;R-HSA-174057;R-HSA-2467798;R-HSA-174070;R-HSA-174079
R-HSA-8853884,Transcriptional Regulation by VENTX,3,48,0.003260648,0.00507306,0.157264864,3,13,9.83E-04,9606,Homo sapiens,CCND1;UBE2C,,R-HSA-8853956;R-HSA-8853965;R-HSA-3790130
R-HSA-8864260,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,3,52,0.003532369,0.00631926,0.174947517,3,44,0.003326026,9606,Homo sapiens,ATAD2;MYBL2,,R-HSA-8937369;R-HSA-8869566;R-HSA-8869549
R-HSA-9661069,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",2,17,0.001154813,0.006728751,0.174947517,1,1,7.56E-05,9606,Homo sapiens,CCNE2;CCND1,,R-HSA-9659782
R-HSA-9659787,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,2,17,0.001154813,0.006728751,0.174947517,1,2,1.51E-04,9606,Homo sapiens,CCNE2;CCND1,,R-HSA-9659782
R-HSA-1362300,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,2,20,0.001358603,0.009185013,0.22962532,2,8,6.05E-04,9606,Homo sapiens,MYBL2,,R-HSA-8978926;R-HSA-8964561
R-HSA-6791312,TP53 Regulates Transcription of Cell Cycle Genes,3,65,0.004415461,0.011550026,0.240805389,7,42,0.003174843,9606,Homo sapiens,CCNE2;E2F7,,R-HSA-6798353;R-HSA-6798304;R-HSA-69562;R-HSA-6798299;R-HSA-6798347;R-HSA-8952996;R-HSA-8953013
R-HSA-5625900,RHO GTPases activate CIT,2,23,0.001562394,0.011980324,0.240805389,6,6,4.54E-04,9606,Homo sapiens,CIT,,R-HSA-5671972;R-HSA-5671970;R-HSA-5625901;R-HSA-5671919;R-HSA-8981443;R-HSA-5671993
R-HSA-5693567,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),4,124,0.008423341,0.012280434,0.240805389,30,42,0.003174843,9606,Homo sapiens,EME1;BRCA1;RAD9A,,R-HSA-5684887;R-HSA-5684052;R-HSA-5693589;R-HSA-5684882;R-HSA-5685011;R-HSA-5686483;R-HSA-5693584;R-HSA-5686430;R-HSA-5685341;R-HSA-5693593;R-HSA-5686469;R-HSA-5686657;R-HSA-5685838;R-HSA-5684108;R-HSA-5693580;R-HSA-5686410;R-HSA-5684875;R-HSA-5686475;R-HSA-5693620;R-HSA-5686642;R-HSA-5693564;R-HSA-5693561;R-HSA-5693542;R-HSA-5684071;R-HSA-5685156;R-HSA-5693539;R-HSA-5685985;R-HSA-5685994;R-HSA-5693608;R-HSA-5686440
R-HSA-5628897,TP53 Regulates Metabolic Genes,4,125,0.008491271,0.012613647,0.240805389,5,34,0.002570111,9606,Homo sapiens,RRM2B;COX6C;YWHAZ,,R-HSA-5632887;R-HSA-5632738;R-HSA-5632892;R-HSA-5632732;R-HSA-163214
R-HSA-9675136,Diseases of DNA Double-Strand Break Repair,1,2,1.36E-04,0.014165023,0.240805389,2,2,1.51E-04,9606,Homo sapiens,BRCA1,,R-HSA-9699163;R-HSA-9663194
R-HSA-9663199,Defective DNA double strand break response due to BRCA1 loss of function,1,2,1.36E-04,0.014165023,0.240805389,1,1,7.56E-05,9606,Homo sapiens,BRCA1,,R-HSA-9663194
R-HSA-5619088,"Defective SLC39A4 causes acrodermatitis enteropathica, zinc-deficiency type (AEZ)",1,2,1.36E-04,0.014165023,0.240805389,1,1,7.56E-05,9606,Homo sapiens,SLC39A4,,R-HSA-5654125
R-HSA-9699150,Defective DNA double strand break response due to BARD1 loss of function,1,2,1.36E-04,0.014165023,0.240805389,1,1,7.56E-05,9606,Homo sapiens,BRCA1,,R-HSA-9699163
R-HSA-5693538,Homology Directed Repair,4,130,0.008830922,0.014366471,0.244230013,30,50,0.003779575,9606,Homo sapiens,EME1;BRCA1;RAD9A,,R-HSA-5684887;R-HSA-5684052;R-HSA-5693589;R-HSA-5684882;R-HSA-5685011;R-HSA-5686483;R-HSA-5693584;R-HSA-5686430;R-HSA-5685341;R-HSA-5693593;R-HSA-5686469;R-HSA-5686657;R-HSA-5685838;R-HSA-5684108;R-HSA-5693580;R-HSA-5686410;R-HSA-5684875;R-HSA-5686475;R-HSA-5693620;R-HSA-5686642;R-HSA-5693564;R-HSA-5693561;R-HSA-5693542;R-HSA-5684071;R-HSA-5685156;R-HSA-5693539;R-HSA-5685985;R-HSA-5685994;R-HSA-5693608;R-HSA-5686440
R-HSA-69620,Cell Cycle Checkpoints,6,280,0.019020447,0.015437136,0.246994173,11,56,0.004233124,9606,Homo sapiens,NUP107;CCNE2;UBE2C;BRCA1;YWHAZ;RAD9A,,R-HSA-5683735;R-HSA-69891;R-HSA-6799332;R-HSA-141409;R-HSA-141431;R-HSA-75016;R-HSA-176264;R-HSA-69562;R-HSA-141422;R-HSA-141439;R-HSA-141423
R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,2,29,0.001969975,0.018527855,0.28008088,2,12,9.07E-04,9606,Homo sapiens,CCND1,,R-HSA-9623355;R-HSA-9623341
R-HSA-194315,Signaling by Rho GTPases,8,470,0.031927179,0.019538655,0.28008088,15,125,0.009448938,9606,Homo sapiens,NUP107;CTTN;RHPN1;ASH2L;YWHAZ;SRGAP1;CIT,,R-HSA-194913;R-HSA-5666160;R-HSA-5666129;R-HSA-194922;R-HSA-75016;R-HSA-8981443;R-HSA-5671993;R-HSA-5666169;R-HSA-5671972;R-HSA-5671970;R-HSA-442832;R-HSA-5667008;R-HSA-5625901;R-HSA-5671919;R-HSA-5667052
R-HSA-69473,G2/M DNA damage checkpoint,3,81,0.005502344,0.020606561,0.28008088,4,12,9.07E-04,9606,Homo sapiens,BRCA1;YWHAZ;RAD9A,,R-HSA-5683735;R-HSA-69891;R-HSA-6799332;R-HSA-75016
R-HSA-5205647,Mitophagy,2,31,0.002105835,0.020978135,0.28008088,5,15,0.001133873,9606,Homo sapiens,MTERFD1;BRCA1,,R-HSA-5205663;R-HSA-5205673;R-HSA-5205682;R-HSA-5205649;R-HSA-8948039
R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,3,89,0.006045785,0.026251006,0.28008088,3,17,0.001285056,9606,Homo sapiens,BRCA1,,R-HSA-6797606;R-HSA-6797712;R-HSA-6797616
R-HSA-9663891,Selective autophagy,3,89,0.006045785,0.026251006,0.28008088,7,48,0.003628392,9606,Homo sapiens,MTERFD1;HSF1;BRCA1,,R-HSA-5205663;R-HSA-9646354;R-HSA-5205673;R-HSA-9646347;R-HSA-5205682;R-HSA-5205649;R-HSA-8948039
R-HSA-72202,Transport of Mature Transcript to Cytoplasm,3,90,0.006113715,0.027009096,0.28008088,13,13,9.83E-04,9606,Homo sapiens,TPD52;NUP107;CPSF1,,R-HSA-159046;R-HSA-159050;R-HSA-158441;R-HSA-158447;R-HSA-111439;R-HSA-77587;R-HSA-158481;R-HSA-158484;R-HSA-75097;R-HSA-75096;R-HSA-77594;R-HSA-75098;R-HSA-159101
R-HSA-1500620,Meiosis,3,92,0.006249575,0.028560214,0.28008088,6,15,0.001133873,9606,Homo sapiens,PSMC3IP;BRCA1;TERF1,,R-HSA-912408;R-HSA-912458;R-HSA-912503;R-HSA-912470;R-HSA-912467;R-HSA-912450
R-HSA-195258,RHO GTPase Effectors,6,328,0.022281095,0.03047381,0.28008088,13,113,0.00854184,9606,Homo sapiens,NUP107;CTTN;RHPN1;YWHAZ;CIT,,R-HSA-5666160;R-HSA-5666129;R-HSA-75016;R-HSA-8981443;R-HSA-5671993;R-HSA-5666169;R-HSA-5671972;R-HSA-5671970;R-HSA-442832;R-HSA-5667008;R-HSA-5625901;R-HSA-5671919;R-HSA-5667052
R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,3,95,0.006453366,0.030974029,0.28008088,3,26,0.001965379,9606,Homo sapiens,BRCA1;RAD9A,,R-HSA-6805061;R-HSA-6799332;R-HSA-6805059
R-HSA-5685938,HDR through Single Strand Annealing (SSA),2,39,0.002649277,0.03200921,0.28008088,4,6,4.54E-04,9606,Homo sapiens,BRCA1;RAD9A,,R-HSA-5686642;R-HSA-5686657;R-HSA-5693564;R-HSA-5693580
R-HSA-5693532,DNA Double-Strand Break Repair,4,168,0.011412268,0.03272681,0.28008088,41,111,0.008390657,9606,Homo sapiens,EME1;BRCA1;RAD9A,,R-HSA-5683735;R-HSA-5684887;R-HSA-69891;R-HSA-5684052;R-HSA-5693589;R-HSA-5684882;R-HSA-5685011;R-HSA-5686483;R-HSA-5693584;R-HSA-5686430;R-HSA-5686685;R-HSA-5685341;R-HSA-5683801;R-HSA-5693593;R-HSA-9700998;R-HSA-5659781;R-HSA-5686469;R-HSA-5686657;R-HSA-5685838;R-HSA-5684108;R-HSA-5693580;R-HSA-9701000;R-HSA-5686410;R-HSA-5684875;R-HSA-5686475;R-HSA-9701003;R-HSA-5693620;R-HSA-5686642;R-HSA-5693564;R-HSA-5683385;R-HSA-5693561;R-HSA-5693542;R-HSA-5684071;R-HSA-5685156;R-HSA-5693539;R-HSA-5685985;R-HSA-5693551;R-HSA-5685994;R-HSA-5693608;R-HSA-5686440;R-HSA-9707051
R-HSA-5693616,Presynaptic phase of homologous DNA pairing and strand exchange,2,41,0.002785137,0.035055026,0.28008088,2,5,3.78E-04,9606,Homo sapiens,BRCA1;RAD9A,,R-HSA-5685341;R-HSA-5693561
R-HSA-453279,Mitotic G1 phase and G1/S transition,4,173,0.011751919,0.035837869,0.28008088,29,99,0.007483559,9606,Homo sapiens,CCNE2;CCND1;MYBL2,,R-HSA-187520;R-HSA-69191;R-HSA-8942607;R-HSA-69195;R-HSA-69199;R-HSA-8941895;R-HSA-157906;R-HSA-8941915;R-HSA-8848414;R-HSA-8964561;R-HSA-8942803;R-HSA-188386;R-HSA-187552;R-HSA-188390;R-HSA-1363314;R-HSA-8978926;R-HSA-9018017;R-HSA-69227;R-HSA-8848436;R-HSA-1363303;R-HSA-187574;R-HSA-187575;R-HSA-1363311;R-HSA-69562;R-HSA-1226094;R-HSA-8942836;R-HSA-188350;R-HSA-1226095;R-HSA-1363306
R-HSA-6783310,Fanconi Anemia Pathway,2,42,0.002853067,0.036618562,0.28008088,2,13,9.83E-04,9606,Homo sapiens,EME1,,R-HSA-6785732;R-HSA-6785986
R-HSA-5633007,Regulation of TP53 Activity,4,178,0.01209157,0.039114962,0.28008088,7,98,0.007407967,9606,Homo sapiens,MYST3;BRCA1;RAD9A,,R-HSA-6805638;R-HSA-6805061;R-HSA-6799332;R-HSA-6805620;R-HSA-6805059;R-HSA-6805650;R-HSA-6805640
R-HSA-5693579,Homologous DNA Pairing and Strand Exchange,2,44,0.002988927,0.039824626,0.28008088,4,8,6.05E-04,9606,Homo sapiens,BRCA1;RAD9A,,R-HSA-5693620;R-HSA-5685838;R-HSA-5685341;R-HSA-5693561
R-HSA-3769402,Deactivation of the beta-catenin transactivating complex,2,44,0.002988927,0.039824626,0.28008088,4,14,0.001058281,9606,Homo sapiens,ASH2L;YWHAZ,,R-HSA-3769391;R-HSA-3769393;R-HSA-3364042;R-HSA-3769392
R-HSA-69242,S Phase,4,180,0.01222743,0.040472394,0.28008088,15,54,0.004081941,9606,Homo sapiens,CCNE2;CCND1;UBE2C;GINS4,,R-HSA-187552;R-HSA-187520;R-HSA-69005;R-HSA-176942;R-HSA-75820;R-HSA-75823;R-HSA-75822;R-HSA-75825;R-HSA-75824;R-HSA-8848436;R-HSA-187574;R-HSA-187575;R-HSA-69015;R-HSA-8848414;R-HSA-176956
R-HSA-69200,Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes,1,6,4.08E-04,0.04190154,0.28008088,1,1,7.56E-05,9606,Homo sapiens,CCNE2,,R-HSA-188390
R-HSA-159231,Transport of Mature mRNA Derived from an Intronless Transcript,2,46,0.003124788,0.043133054,0.28008088,3,3,2.27E-04,9606,Homo sapiens,NUP107;CPSF1,,R-HSA-77594;R-HSA-158441;R-HSA-158447
R-HSA-8953750,Transcriptional Regulation by E2F6,2,46,0.003124788,0.043133054,0.28008088,2,33,0.00249452,9606,Homo sapiens,BRCA1,,R-HSA-9007605;R-HSA-9007606
R-HSA-159234,Transport of Mature mRNAs Derived from Intronless Transcripts,2,47,0.003192718,0.044824563,0.28008088,9,9,6.80E-04,9606,Homo sapiens,NUP107;CPSF1,,R-HSA-77587;R-HSA-158481;R-HSA-159046;R-HSA-158484;R-HSA-159050;R-HSA-77594;R-HSA-158441;R-HSA-158447;R-HSA-111439
R-HSA-5250971,Toxicity of botulinum toxin type C (botC),1,7,4.76E-04,0.048714021,0.28008088,1,5,3.78E-04,9606,Homo sapiens,STX1A,,R-HSA-181567
R-HSA-69231,Cyclin D associated events in G1,2,51,0.003464439,0.0518293,0.28008088,9,15,0.001133873,9606,Homo sapiens,CCNE2;CCND1,,R-HSA-8941915;R-HSA-8942607;R-HSA-9018017;R-HSA-69227;R-HSA-8942803;R-HSA-1226094;R-HSA-8942836;R-HSA-1226095;R-HSA-8941895
R-HSA-69236,G1 Phase,2,51,0.003464439,0.0518293,0.28008088,9,15,0.001133873,9606,Homo sapiens,CCNE2;CCND1,,R-HSA-8941915;R-HSA-8942607;R-HSA-9018017;R-HSA-69227;R-HSA-8942803;R-HSA-1226094;R-HSA-8942836;R-HSA-1226095;R-HSA-8941895
R-HSA-8849470,PTK6 Regulates Cell Cycle,1,8,5.43E-04,0.055478521,0.28008088,2,2,1.51E-04,9606,Homo sapiens,CCND1,,R-HSA-8848436;R-HSA-8848414
R-HSA-1474165,Reproduction,3,123,0.008355411,0.058418229,0.28008088,6,24,0.001814196,9606,Homo sapiens,PSMC3IP;BRCA1;TERF1,,R-HSA-912408;R-HSA-912458;R-HSA-912503;R-HSA-912470;R-HSA-912467;R-HSA-912450
R-HSA-68877,Mitotic Prometaphase,4,211,0.014333265,0.064905883,0.28008088,9,20,0.00151183,9606,Homo sapiens,NUP107;BRCA1;TUBG1,,R-HSA-9648114;R-HSA-2484822;R-HSA-375302;R-HSA-380316;R-HSA-380508;R-HSA-2529020;R-HSA-1638803;R-HSA-2468287;R-HSA-1638821
